SalesOrderNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
SO43701,7/1/2019,Christy Zhu,christy12@adventure-works.com,Mushed Goo 1,8,62,3.1
SO43704,7/1/2019,Julio Ruiz,julio1@adventure-works.com,Mushed Goo 2,6,73,3.65
SO43705,7/1/2019,Curtis Lu,curtis9@adventure-works.com,Mushed Goo 3,9,66,3.3
SO43700,7/1/2019,Ruben Prasad,ruben10@adventure-works.com,Mushed Goo 4,8,57,2.85
SO43703,7/1/2019,Albert Alvarez,albert7@adventure-works.com,Mushed Goo 5,3,52,2.6
SO43697,7/1/2019,Cole Watson,cole1@adventure-works.com,Mushed Goo 6,3,71,3.55
SO43699,7/1/2019,Sydney Wright,sydney61@adventure-works.com,Mushed Goo 7,3,9,0.45
SO43702,7/1/2019,Colin Anand,colin45@adventure-works.com,Mushed Goo 8,8,60,3
SO43698,7/1/2019,Rachael Martinez,rachael16@adventure-works.com,Mushed Goo 9,10,62,3.1
SO43707,7/2/2019,Emma Brown,emma3@adventure-works.com,Yucky Stuff 1,8,5,0.25
SO43711,7/2/2019,Courtney Edwards,courtney1@adventure-works.com,Yucky Stuff 2,10,1,0.05
SO43706,7/2/2019,Edward Brown,edward26@adventure-works.com,Yucky Stuff 3,1,17,0.85
SO43708,7/2/2019,Brad Deng,brad2@adventure-works.com,Yucky Stuff 4,3,52,2.6
SO43709,7/2/2019,Martha Xu,martha12@adventure-works.com,Yucky Stuff 5,1,56,2.8
SO43710,7/2/2019,Katrina Raji,katrina20@adventure-works.com,Yucky Stuff 6,4,87,4.35
SO43712,7/2/2019,Abigail Henderson,abigail73@adventure-works.com,Yucky Stuff 7,5,2,0.1
SO43720,7/3/2019,Melanie Sanchez,melanie47@adventure-works.com,Yucky Stuff 8,3,8,0.4
SO43721,7/3/2019,Louis Xie,louis20@adventure-works.com,Yucky Stuff 9,10,23,1.15
SO43714,7/3/2019,Latasha Alonso,latasha8@adventure-works.com,Yucky Stuff 10,10,47,2.35
SO43715,7/3/2019,Warren Jai,warren42@adventure-works.com,Icky Thing 57,8,73,3.65
SO43716,7/3/2019,Jonathon Gutierrez,jonathon8@adventure-works.com,Icky Thing 58,7,80,4
SO43719,7/3/2019,Lucas Hill,lucas45@adventure-works.com,Icky Thing 59,6,2,0.1
SO43713,7/3/2019,Sydney Rogers,sydney3@adventure-works.com,Icky Thing 60,9,20,1
SO43717,7/3/2019,Alexandra Watson,alexandra20@adventure-works.com,Icky Thing 61,10,61,3.05
SO43718,7/3/2019,Kevin Gonzalez,kevin46@adventure-works.com,Icky Thing 62,2,42,2.1
SO43727,7/4/2019,Logan Gonzales,logan18@adventure-works.com,Icky Thing 63,10,82,4.1
SO43724,7/4/2019,Misty Raji,misty23@adventure-works.com,Icky Thing 64,4,1,0.05
SO43722,7/4/2019,Albert Blanco,albert15@adventure-works.com,Icky Thing 65,2,49,2.45
SO43725,7/4/2019,Anne Dominguez,anne14@adventure-works.com,Icky Thing 66,10,90,4.5
SO43723,7/4/2019,Bonnie Xu,bonnie10@adventure-works.com,Icky Thing 67,4,71,3.55
SO43726,7/4/2019,Kelvin Huang,kelvin25@adventure-works.com,Icky Thing 68,3,6,0.3
SO43736,7/5/2019,Ruben Torres,ruben35@adventure-works.com,Disgusto Burger 21,4,18,0.9
SO43732,7/5/2019,Alejandro Beck,alejandro45@adventure-works.com,Disgusto Burger 22,8,78,3.9
SO43729,7/5/2019,Mayra Prasad,mayra9@adventure-works.com,Disgusto Burger 23,7,22,1.1
SO43731,7/5/2019,Rosa Zheng,rosa19@adventure-works.com,Disgusto Burger 24,5,38,1.9
SO43735,7/5/2019,Casey Pal,casey13@adventure-works.com,Disgusto Burger 25,2,80,4
SO43728,7/5/2019,Alyssa Garcia,alyssa16@adventure-works.com,Disgusto Burger 26,8,22,1.1
SO43734,7/5/2019,Richard Brooks,richard81@adventure-works.com,Disgusto Burger 27,9,70,3.5
SO43733,7/5/2019,Patrick Cook,patrick26@adventure-works.com,Disgusto Burger 28,2,44,2.2
SO43730,7/5/2019,Garrett Cooper,garrett13@adventure-works.com,Disgusto Burger 29,6,49,2.45
SO43741,7/6/2019,Jeremiah Martinez,jeremiah8@adventure-works.com,Disgusto Burger 30,5,79,3.95
SO43740,7/6/2019,Cory Arun,cory5@adventure-works.com,Disgusto Burger 31,2,49,2.45
SO43744,7/6/2019,Haley Ward,haley13@adventure-works.com,Disgusto Burger 32,1,25,1.25
SO43743,7/6/2019,Marco Mehta,marco14@adventure-works.com,Disgusto Burger 33,7,83,4.15
SO43738,7/6/2019,Melody Ramos,melody17@adventure-works.com,Disgusto Burger 34,5,50,2.5
SO43737,7/6/2019,Lindsey Andersen,lindsey14@adventure-works.com,Grossburger Delight 7,9,59,2.95
SO43742,7/6/2019,Tamara Lal,tamara20@adventure-works.com,Grossburger Delight 8,7,79,3.95
SO43739,7/6/2019,Phillip Sai,phillip6@adventure-works.com,Grossburger Delight 9,1,59,2.95
SO43752,7/7/2019,Luke Adams,luke46@adventure-works.com,Grossburger Delight 10,9,8,0.4
SO43750,7/7/2019,Stacey Lu,stacey12@adventure-works.com,Grossburger Delight 11,1,67,3.35
SO43751,7/7/2019,Darrell Raji,darrell9@adventure-works.com,Grossburger Delight 12,7,87,4.35
SO43746,7/7/2019,Kelvin Liang,kelvin35@adventure-works.com,Grossburger Delight 13,3,88,4.4
SO43753,7/7/2019,Tabitha Arthur,tabitha5@adventure-works.com,Grossburger Delight 14,8,64,3.2
SO43745,7/7/2019,Manuel Fernandez,manuel14@adventure-works.com,Grossburger Delight 15,8,87,4.35
SO43747,7/7/2019,Christian Jackson,christian47@adventure-works.com,Grossburger Delight 16,2,24,1.2
SO43748,7/7/2019,Alexandria Hughes,alexandria11@adventure-works.com,Grossburger Delight 17,3,33,1.65
SO43749,7/7/2019,Paige Murphy,paige39@adventure-works.com,Grossburger Delight 18,8,94,4.7
SO43756,7/8/2019,Cedric Liang,cedric16@adventure-works.com,Grossburger Delight 19,8,50,2.5
SO43755,7/8/2019,Kayla Long,kayla33@adventure-works.com,Grossburger Delight 20,10,7,0.35
SO43754,7/8/2019,Morgan Phillips,morgan4@adventure-works.com,Grossburger Delight 21,8,63,3.15
SO43758,7/8/2019,Jackson Li,jackson28@adventure-works.com,Rotten Vegy 43,2,63,3.15
SO43761,7/8/2019,Brenda Fernandez,brenda19@adventure-works.com,Rotten Vegy 44,4,47,2.35
SO43760,7/8/2019,Tiffany Gao,tiffany15@adventure-works.com,Rotten Vegy 45,5,15,0.75
SO43757,7/8/2019,Shannon Wang,shannon1@adventure-works.com,Rotten Vegy 46,6,80,4
SO43759,7/8/2019,Jon Chander,jon12@adventure-works.com,Rotten Vegy 47,7,42,2.1
